# t0_us	theta_over_pi_weighted_mean
7.62162162	1.8601555
7.62972973	1.85359277
7.63783784	1.84709686
7.64594595	1.84067098
7.65405405	1.83431831
7.66216216	1.82804202
7.67027027	1.82184523
7.67837838	1.81573104
7.68648649	1.80970253
7.69459459	1.80376276
7.7027027	1.79791473
7.71081081	1.79216144
7.71891892	1.78650586
7.72702703	1.78095092
7.73513514	1.77549952
7.74324324	1.77015454
7.75135135	1.76491885
7.75945946	1.75979525
7.76756757	1.75478654
7.77567568	1.74989548
7.78378378	1.74512482
7.79189189	1.74047727
7.8	1.7359555
7.80810811	1.73156216
7.81621622	1.7272999
7.82432432	1.7231713
7.83243243	1.71917893
7.84054054	1.71532534
7.84864865	1.71161306
7.85675676	1.70804456
7.86486486	1.70462231
7.87297297	1.70134876
7.88108108	1.69822631
7.88918919	1.69525735
7.8972973	1.69244425
7.90540541	1.68978933
7.91351351	1.68729491
7.92162162	1.68496329
7.92972973	1.68279671
7.93783784	1.68079742
7.94594595	1.67896763
7.95405405	1.67730953
7.96216216	1.6758253
7.97027027	1.67451708
7.97837838	1.67338698
7.98648649	1.67243711
7.99459459	1.67166955
8.0027027	1.67108636
8.01081081	1.67068956
8.01891892	1.67048116
8.02702703	1.67046318
8.03513514	1.67063756
8.04324324	1.67100627
8.05135135	1.67157123
8.05945946	1.67233435
8.06756757	1.67329752
8.07567568	1.67446262
8.08378378	1.67583148
8.09189189	1.67740594
8.1	1.67918782
8.10810811	1.68117889
8.11621622	1.68338094
8.12432432	1.68579571
8.13243243	1.68842494
8.14054054	1.69127034
8.14864865	1.6943336
8.15675676	1.69761641
8.16486486	1.70112041
8.17297297	1.70484725
8.18108108	1.70879854
8.18918919	1.71297588
8.1972973	1.71738084
8.20540541	1.72201499
8.21351351	1.72687987
8.22162162	1.73197699
8.22972973	1.73730785
8.23783784	1.74287394
8.24594595	1.7486767
8.25405405	1.75471757
8.26216216	1.76099797
8.27027027	1.76751929
8.27837838	1.77428291
8.28648649	1.78129016
8.29459459	1.78854238
8.3027027	1.79604087
8.31081081	1.80378691
8.31891892	1.81178175
8.32702703	1.82002661
8.33513514	1.82852272
8.34324324	1.83727123
8.35135135	1.84627331
8.35945946	1.85553008
8.36756757	1.86504264
8.37567568	1.87481206
8.38378378	1.88483937
8.39189189	1.89512558
8.4	1.90567168
8.40810811	1.91647862
8.41621622	1.92754731
8.42432432	1.93887863
8.43243243	1.95047343
8.44054054	1.96233254
8.44864865	1.97445673
8.45675676	1.98684674
8.46486486	1.99950329
8.47297297	2.01242704
8.48108108	2.02561863
8.48918919	2.03907864
8.4972973	2.05280763
8.50540541	2.0668061
8.51351351	2.08107453
8.52162162	2.09561333
8.52972973	2.11042289
8.53783784	2.12550353
8.54594595	2.14085555
8.55405405	2.15647918
8.56216216	2.17237461
8.57027027	2.18854198
8.57837838	2.20498139
8.58648649	2.22169287
8.59459459	2.23867641
8.6027027	2.25593193
8.61081081	2.27345933
8.61891892	2.29125841
8.62702703	2.30932894
8.63513514	2.32767063
8.64324324	2.34628312
8.65135135	2.36516601
8.65945946	2.38431882
8.66756757	2.40374101
8.67567568	2.42343199
8.68378378	2.44339108
8.69189189	2.46361757
8.7	2.48411066
8.70810811	2.50486949
8.71621622	2.52589313
8.72432432	2.54718058
8.73243243	2.56873077
8.74054054	2.59054257
8.74864865	2.61261477
8.75675676	2.63494608
8.76486486	2.65753515
8.77297297	2.68038055
8.78108108	2.70348078
8.78918919	2.72683425
8.7972973	2.75043931
8.80540541	2.77429423
8.81351351	2.79839719
8.82162162	2.8227463
8.82972973	2.8473396
8.83783784	2.87217505
8.84594595	2.8972505
8.85405405	2.92256375
8.86216216	2.94811252
8.87027027	2.97389443
8.87837838	2.99990703
8.88648649	3.02614777
8.89459459	3.05261406
8.9027027	3.07930317
8.91081081	3.10621233
8.91891892	3.13333866
8.92702703	3.16067923
8.93513514	3.18823098
8.94324324	3.2159908
8.95135135	3.2439555
8.95945946	3.27212177
8.96756757	3.30048625
8.97567568	3.32904548
8.98378378	3.35779593
8.99189189	3.38673397
9	3.4158559
9.00810811	3.44515793
9.01621622	3.47463618
9.02432432	3.50428671
9.03243243	3.53410548
9.04054054	3.56408838
9.04864865	3.5942312
9.05675676	3.62452967
9.06486486	3.65497943
9.07297297	3.68557605
9.08108108	3.71631501
9.08918919	3.74719173
9.0972973	3.77820153
9.10540541	3.80933967
9.11351351	3.84060134
9.12162162	3.87198163
9.12972973	3.9034756
9.13783784	3.93507819
9.14594595	3.96678431
9.15405405	3.99858878
9.16216216	4.03048635
9.17027027	4.06247172
9.17837838	4.09453951
9.18648649	4.12668427
9.19459459	4.15890051
9.2027027	4.19118266
9.21081081	4.22352509
9.21891892	4.25592214
9.22702703	4.28836805
9.23513514	4.32085703
9.24324324	4.35338324
9.25135135	4.38594079
9.25945946	4.41852371
9.26756757	4.45112603
9.27567568	4.4837417
9.28378378	4.51636463
9.29189189	4.5489887
9.3	4.58160773
9.30810811	4.61421554
9.31621622	4.64680587
9.32432432	4.67937246
9.33243243	4.71190898
9.34054054	4.74440912
9.34864865	4.77686651
9.35675676	4.80927475
9.36486486	4.84162745
9.37297297	4.87391816
9.38108108	4.90614043
9.38918919	4.93828781
9.3972973	4.97035381
9.40540541	5.00233193
9.41351351	5.03421569
9.42162162	5.06599858
9.42972973	5.09767408
9.43783784	5.12923568
9.44594595	5.16067687
9.45405405	5.19199115
9.46216216	5.22317202
9.47027027	5.25421298
9.47837838	5.28510755
9.48648649	5.31584926
9.49459459	5.34643166
9.5027027	5.37684831
9.51081081	5.40709281
9.51891892	5.43715877
9.52702703	5.46703981
9.53513514	5.49672962
9.54324324	5.52622187
9.55135135	5.55551032
9.55945946	5.58458871
9.56756757	5.61345086
9.57567568	5.64209062
9.58378378	5.67050188
9.59189189	5.69867856
9.6	5.72661467
9.60810811	5.75430424
9.61621622	5.78174135
9.62432432	5.80892016
9.63243243	5.83583487
9.64054054	5.86247975
9.64864865	5.88884913
9.65675676	5.9149374
9.66486486	5.94073902
9.67297297	5.96624853
9.68108108	5.99146054
9.68918919	6.01636972
9.6972973	6.04097083
9.70540541	6.06525871
9.71351351	6.08922828
9.72162162	6.11287452
9.72972973	6.13619254
9.73783784	6.1591775
9.74594595	6.18182466
9.75405405	6.20412937
9.76216216	6.22608709
9.77027027	6.24769334
9.77837838	6.26894377
9.78648649	6.28983411
9.79459459	6.3103602
9.8027027	6.33051797
9.81081081	6.35030346
9.81891892	6.36971282
9.82702703	6.3887423
9.83513514	6.40738825
9.84324324	6.42564714
9.85135135	6.44351555
9.85945946	6.46099017
9.86756757	6.47806781
9.87567568	6.49474537
9.88378378	6.5110199
9.89189189	6.52688853
9.9	6.54234854
9.90810811	6.55739731
9.91621622	6.57203233
9.92432432	6.58625124
9.93243243	6.60005178
9.94054054	6.6134318
9.94864865	6.62638931
9.95675676	6.6389224
9.96486486	6.65102931
9.97297297	6.66270839
9.98108108	6.67395814
9.98918919	6.68477714
9.9972973	6.69516413
10.0054054	6.70511796
10.0135135	6.71463761
10.0216216	6.72372219
10.0297297	6.73237092
10.0378378	6.74058316
10.0459459	6.74835838
10.0540541	6.75569619
10.0621622	6.76259631
10.0702703	6.7690586
10.0783784	6.77508304
10.0864865	6.78066971
10.0945946	6.78581885
10.1027027	6.79053079
10.1108108	6.79480601
10.1189189	6.79864509
10.127027	6.80204873
10.1351351	6.80501777
10.1432432	6.80755316
10.1513514	6.80965594
10.1594595	6.81132731
10.1675676	6.81256857
10.1756757	6.81338112
10.1837838	6.81376649
10.1918919	6.81372632
10.2	6.81326236
10.2081081	6.81237647
10.2162162	6.81107062
10.2243243	6.80934688
10.2324324	6.80720745
10.2405405	6.8046546
10.2486486	6.80169072
10.2567568	6.79831832
10.2648649	6.79453998
10.272973	6.79035839
10.2810811	6.78577635
10.2891892	6.78079673
10.2972973	6.77542251
10.3054054	6.76965676
10.3135135	6.76350264
10.3216216	6.75696339
10.3297297	6.75004234
10.3378378	6.74274291
10.3459459	6.73506859
10.3540541	6.72702297
10.3621622	6.7186097
10.3702703	6.70983251
10.3783784	6.7006952
10.3864865	6.69120166
10.3945946	6.68135582
10.4027027	6.67116171
10.4108108	6.6606234
10.4189189	6.64974504
10.427027	6.63853083
10.4351351	6.62698504
10.4432432	6.61511197
10.4513514	6.60291602
10.4594595	6.59040159
10.4675676	6.57757317
10.4756757	6.56443528
10.4837838	6.55099249
10.4918919	6.5372494
10.5	6.52321068
10.5081081	6.508881
10.5162162	6.4942651
10.5243243	6.47936774
10.5324324	6.46419369
10.5405405	6.44874779
10.5486486	6.43303488
10.5567568	6.41705983
10.5648649	6.40082754
10.572973	6.38434291
10.5810811	6.36761088
10.5891892	6.35063639
10.5972973	6.3334244
10.6054054	6.31597988
10.6135135	6.2983078
10.6216216	6.28041316
10.6297297	6.26230094
10.6378378	6.24397613
10.6459459	6.22544372
10.6540541	6.20670869
10.6621622	6.18777604
10.6702703	6.16865074
10.6783784	6.14933775
10.6864865	6.12984203
10.6945946	6.11016853
10.7027027	6.09032217
10.7108108	6.07030787
10.7189189	6.05013053
10.727027	6.02979501
10.7351351	6.00930617
10.7432432	5.98866883
10.7513514	5.9678878
10.7594595	5.94696783
10.7675676	5.92591369
10.7756757	5.90473007
10.7837838	5.88342166
10.7918919	5.8619931
10.8	5.84044898
10.8081081	5.81879389
10.8162162	5.79703235
10.8243243	5.77516884
10.8324324	5.75320781
10.8405405	5.73115365
10.8486486	5.70901073
10.8567568	5.68678335
10.8648649	5.66447576
10.872973	5.64209218
10.8810811	5.61963677
10.8891892	5.59711362
10.8972973	5.5745268
10.9054054	5.55188031
10.9135135	5.52917808
10.9216216	5.506424
10.9297297	5.48362191
10.9378378	5.46077557
10.9459459	5.4378887
10.9540541	5.41496494
10.9621622	5.39200789
10.9702703	5.36902108
10.9783784	5.34600797
10.9864865	5.32297197
10.9945946	5.29991641
11.0027027	5.27684458
11.0108108	5.25375967
11.0189189	5.23066484
11.027027	5.20756316
11.0351351	5.18445764
11.0432432	5.16135123
11.0513514	5.1382468
11.0594595	5.11514717
11.0675676	5.09205508
11.0756757	5.06897319
11.0837838	5.04590412
11.0918919	5.0228504
11.1	4.9998145
11.1081081	4.97679882
11.1162162	4.95380569
11.1243243	4.93083737
11.1324324	4.90789605
11.1405405	4.88498386
11.1486486	4.86210286
11.1567568	4.83925503
11.1648649	4.81644229
11.172973	4.7936665
11.1810811	4.77092943
11.1891892	4.7482328
11.1972973	4.72557827
11.2054054	4.70296741
11.2135135	4.68040174
11.2216216	4.65788271
11.2297297	4.6354117
11.2378378	4.61299003
11.2459459	4.59061896
11.2540541	4.56829967
11.2621622	4.5460333
11.2702703	4.52382091
11.2783784	4.50166349
11.2864865	4.479562
11.2945946	4.4575173
11.3027027	4.43553022
11.3108108	4.41360151
11.3189189	4.39173188
11.327027	4.36992197
11.3351351	4.34817236
11.3432432	4.32648357
11.3513514	4.3048561
11.3594595	4.28329034
11.3675676	4.26178667
11.3756757	4.24034539
11.3837838	4.21896677
11.3918919	4.19765101
11.4	4.17639826
11.4081081	4.15520864
11.4162162	4.13408221
11.4243243	4.11301897
11.4324324	4.09201889
11.4405405	4.07108189
11.4486486	4.05020785
11.4567568	4.0293966
11.4648649	4.00864792
11.472973	3.98796156
11.4810811	3.96733724
11.4891892	3.94677462
11.4972973	3.92627333
11.5054054	3.90583296
11.5135135	3.88545306
11.5216216	3.86513318
11.5297297	3.84487278
11.5378378	3.82467132
11.5459459	3.80452823
11.5540541	3.78444291
11.5621622	3.7644147
11.5702703	3.74444296
11.5783784	3.72452698
11.5864865	3.70466606
11.5945946	3.68485943
11.6027027	3.66510635
11.6108108	3.645406
11.6189189	3.6257576
11.627027	3.60616029
11.6351351	3.58661323
11.6432432	3.56711555
11.6513514	3.54766636
11.6594595	3.52826475
11.6675676	3.50890981
11.6756757	3.4896006
11.6837838	3.47033617
11.6918919	3.45111556
11.7	3.4319378
11.7081081	3.41280192
11.7162162	3.39370691
11.7243243	3.3746518
11.7324324	3.35563557
11.7405405	3.3366572
11.7486486	3.3177157
11.7567568	3.29881004
11.7648649	3.27993919
11.772973	3.26110214
11.7810811	3.24229787
11.7891892	3.22352534
11.7972973	3.20478354
11.8054054	3.18607144
11.8135135	3.16738803
11.8216216	3.1487323
11.8297297	3.13010323
11.8378378	3.11149982
11.8459459	3.09292108
11.8540541	3.07436602
11.8621622	3.05583365
11.8702703	3.03732301
11.8783784	3.01883314
11.8864865	3.00036307
11.8945946	2.98191188
11.9027027	2.96347864
11.9108108	2.94506243
11.9189189	2.92666236
11.927027	2.90827754
11.9351351	2.8899071
11.9432432	2.8715502
11.9513514	2.85320598
11.9594595	2.83487365
11.9675676	2.81655239
11.9756757	2.79824144
11.9837838	2.77994002
11.9918919	2.7616474
12	2.74336286
12.0081081	2.7250857
12.0162162	2.70681525
12.0243243	2.68855086
12.0324324	2.6702919
12.0405405	2.65203777
12.0486486	2.63378789
12.0567568	2.6155417
12.0648649	2.59729867
12.072973	2.57905831
12.0810811	2.56082015
12.0891892	2.54258372
12.0972973	2.52434862
12.1054054	2.50611445
12.1135135	2.48788086
12.1216216	2.4696475
12.1297297	2.45141408
12.1378378	2.43318032
12.1459459	2.41494597
12.1540541	2.39671084
12.1621622	2.37847473
12.1702703	2.36023749
12.1783784	2.34199902
12.1864865	2.32375922
12.1945946	2.30551805
12.2027027	2.28727547
12.2108108	2.26903152
12.2189189	2.25078623
12.227027	2.23253969
12.2351351	2.214292
12.2432432	2.19604333
12.2513514	2.17779385
12.2594595	2.15954379
12.2675676	2.14129339
12.2756757	2.12304294
12.2837838	2.10479278
12.2918919	2.08654325
12.3	2.06829476
12.3081081	2.05004773
12.3162162	2.03180264
12.3243243	2.01355997
12.3324324	1.99532028
12.3405405	1.97708413
12.3486486	1.95885214
12.3567568	1.94062496
12.3648649	1.92240326
12.372973	1.90418777
12.3810811	1.88597925
12.3891892	1.86777848
12.3972973	1.8495863
12.4054054	1.83140356
12.4135135	1.81323118
12.4216216	1.79507009
12.4297297	1.77692126
12.4378378	1.75878571
12.4459459	1.74066447
12.4540541	1.72255864
12.4621622	1.70446932
12.4702703	1.68639768
12.4783784	1.6683449
12.4864865	1.65031221
12.4945946	1.63230086
12.5027027	1.61431215
12.5108108	1.59634741
12.5189189	1.578408
12.527027	1.56049532
12.5351351	1.54261081
12.5432432	1.52475593
12.5513514	1.50693217
12.5594595	1.48914108
12.5675676	1.47138422
12.5756757	1.45366319
12.5837838	1.43597962
12.5918919	1.41833517
12.6	1.40073154
12.6081081	1.38317046
12.6162162	1.36565368
12.6243243	1.348183
12.6324324	1.33076022
12.6405405	1.31338721
12.6486486	1.29606583
12.6567568	1.278798
12.6648649	1.26158565
12.672973	1.24443075
12.6810811	1.22733528
12.6891892	1.21030126
12.6972973	1.19333074
12.7054054	1.17642579
12.7135135	1.1595885
12.7216216	1.14282101
12.7297297	1.12612544
12.7378378	1.10950398
12.7459459	1.09295882
12.7540541	1.07649217
12.7621622	1.06010626
12.7702703	1.04380337
12.7783784	1.02758576
12.7864865	1.01145575
12.7945946	0.995415641
12.8027027	0.979467783
12.8108108	0.963614532
12.8189189	0.94785826
12.827027	0.93220136
12.8351351	0.91664624
12.8432432	0.901195321
12.8513514	0.885851044
12.8594595	0.870615857
12.8675676	0.855492228
12.8756757	0.840482633
12.8837838	0.82558956
12.8918919	0.810815511
12.9	0.796162994
12.9081081	0.78163453
12.9162162	0.767232645
12.9243243	0.752959876
12.9324324	0.738818765
12.9405405	0.72481186
12.9486486	0.710941715
12.9567568	0.697210888
12.9648649	0.683621941
12.972973	0.670177437
12.9810811	0.656879944
12.9891892	0.643732026
12.9972973	0.630736253
13.0054054	0.61789519
13.0135135	0.605211401
13.0216216	0.59268745
13.0297297	0.580325893
13.0378378	0.568129286
13.0459459	0.556100177
13.0540541	0.54424111
13.0621622	0.532554619
13.0702703	0.521043234
13.0783784	0.509709473
13.0864865	0.498555845
13.0945946	0.487584849
13.1027027	0.476798972
13.1108108	0.466200689
13.1189189	0.455792462
13.127027	0.445576736
13.1351351	0.435555945
13.1432432	0.425732503
13.1513514	0.416108811
13.1594595	0.406687249
13.1675676	0.39747018
13.1756757	0.388459946
