# t_us	I_over_time_mean
16.6596073	2.20292172
16.6758289	2.18470421
16.6920505	2.16562429
16.7082721	2.14569734
16.7244938	2.12493998
16.7407154	2.1033701
16.756937	2.08100683
16.7731586	2.05787049
16.7893802	2.03398257
16.8056019	2.00936572
16.8218235	1.98404368
16.8380451	1.95804125
16.8542667	1.93138429
16.8704884	1.9040996
16.88671	1.87621494
16.9029316	1.84775895
16.9191532	1.81876109
16.9353749	1.78925161
16.9515965	1.75926147
16.9678181	1.72882231
16.9840397	1.69796634
17.0002613	1.66672634
17.016483	1.63513553
17.0327046	1.60322756
17.0489262	1.57103641
17.0651478	1.53859634
17.0813695	1.50594181
17.0975911	1.4731074
17.1138127	1.44012776
17.1300343	1.40703755
17.146256	1.37387132
17.1624776	1.34066351
17.1786992	1.3074483
17.1949208	1.27425961
17.2111425	1.24113099
17.2273641	1.20809558
17.2435857	1.17518602
17.2598073	1.14243438
17.2760289	1.10987214
17.2922506	1.07753006
17.3084722	1.0454382
17.3246938	1.01362579
17.3409154	0.982121218
17.3571371	0.950951949
17.3733587	0.920144502
17.3895803	0.889724384
17.4058019	0.859716051
17.4220236	0.830142863
17.4382452	0.801027048
17.4544668	0.772389666
17.4706884	0.744250577
17.4869101	0.716628412
17.5031317	0.689540548
17.5193533	0.663003088
17.5355749	0.637030842
17.5517965	0.611637314
17.5680182	0.586834692
17.5842398	0.56263384
17.6004614	0.5390443
17.616683	0.516074288
17.6329047	0.493730705
17.6491263	0.47201914
17.6653479	0.450943889
17.6815695	0.430507968
17.6977912	0.410713133
17.7140128	0.391559906
17.7302344	0.3730476
17.746456	0.355174352
17.7626776	0.337937157
17.7788993	0.321331901
17.7951209	0.305353407
17.8113425	0.289995475
17.8275641	0.275250927
17.8437858	0.261111658
17.8600074	0.247568686
17.876229	0.234612203
17.8924506	0.222231633
17.9086723	0.210415687
17.9248939	0.199152425
17.9411155	0.188429309
17.9573371	0.178233274
17.9735588	0.168550782
17.9897804	0.159367891
18.006002	0.150670314
18.0222236	0.142443489
18.0384452	0.134672639
18.0546669	0.127342837
18.0708885	0.120439071
18.0871101	0.11394631
18.1033317	0.107849562
18.1195534	0.102133939
18.135775	0.0967847184
18.1519966	0.0917874
18.1682182	0.0871277668
18.1844399	0.0827919395
18.2006615	0.0787664311
18.2168831	0.0750381997
18.2331047	0.0715946975
18.2493264	0.0684239188
18.265548	0.0655144445
18.2817696	0.0628554845
18.2979912	0.0604369163
18.3142128	0.0582493211
18.3304345	0.0562840171
18.3466561	0.0545330885
18.3628777	0.052989412
18.3790993	0.0516466795
18.395321	0.0504994173
18.4115426	0.0495430017
18.4277642	0.0487736707
18.4439858	0.0481885326
18.4602075	0.0477855703
18.4764291	0.0475636423
18.4926507	0.0475224798
18.5088723	0.04766268
18.525094	0.0479856959
18.5413156	0.0484938226
18.5575372	0.0491901796
18.5737588	0.0500786902
18.5899804	0.0511640566
18.6062021	0.052451733
18.6224237	0.053947894
18.6386453	0.0556594007
18.6548669	0.0575937641
