# t_us	I_over_time_mean_weighted
10.3656174	0.825278181
10.381839	0.81220871
10.3980606	0.79897082
10.4142822	0.785571705
10.4305039	0.772018987
10.4467255	0.75832071
10.4629471	0.744485326
10.4791687	0.73052168
10.4953904	0.716438997
10.511612	0.70224686
10.5278336	0.687955199
10.5440552	0.673574265
10.5602768	0.659114617
10.5764985	0.644587092
10.5927201	0.630002788
10.6089417	0.61537304
10.6251633	0.600709392
10.641385	0.586023577
10.6576066	0.571327484
10.6738282	0.556633136
10.6900498	0.541952661
10.7062715	0.527298264
10.7224931	0.512682199
10.7387147	0.498116736
10.7549363	0.483614139
10.771158	0.469186631
10.7873796	0.454846365
10.8036012	0.440605398
10.8198228	0.426475658
10.8360444	0.412468918
10.8522661	0.398596763
10.8684877	0.384870567
10.8847093	0.371301462
10.9009309	0.357900309
10.9171526	0.344677676
10.9333742	0.331643809
10.9495958	0.318808608
10.9658174	0.306181602
10.9820391	0.293771928
10.9982607	0.281588309
11.0144823	0.269639032
11.0307039	0.257931928
11.0469256	0.246474358
11.0631472	0.23527319
11.0793688	0.224334793
11.0955904	0.213665013
11.111812	0.203269168
11.1280337	0.193152036
11.1442553	0.183317844
11.1604769	0.173770264
11.1766985	0.164512406
11.1929202	0.155546814
11.2091418	0.146875463
11.2253634	0.13849976
11.241585	0.130420549
11.2578067	0.122638106
11.2740283	0.11515215
11.2902499	0.107961851
11.3064715	0.10106583
11.3226931	0.0944621788
11.3389148	0.088148465
11.3551364	0.0821217479
11.371358	0.0763785919
11.3875796	0.0709150837
11.4038013	0.0657268489
11.4200229	0.0608090714
11.4362445	0.0561565136
11.4524661	0.0517635374
11.4686878	0.047624127
11.4849094	0.0437319125
11.501131	0.0400801941
11.5173526	0.0366619679
11.5335743	0.0334699517
11.5497959	0.0304966121
11.5660175	0.0277341919
11.5822391	0.025174738
11.5984607	0.0228101296
11.6146824	0.0206321071
11.630904	0.0186323004
11.6471256	0.0168022584
11.6633472	0.015133477
11.6795689	0.0136174284
11.6957905	0.0122455894
11.7120121	0.0110094691
11.7282337	0.00990063674
11.7444554	0.00891074897
11.760677	0.00803157585
11.7768986	0.00725502669
11.7931202	0.00657317479
11.8093419	0.0059782813
11.8255635	0.00546281805
11.8417851	0.00501948923
11.8580067	0.00464125195
11.8742283	0.00432133549
11.89045	0.00405325922
11.9066716	0.00383084914
11.9228932	0.00364825296
11.9391148	0.00349995365
11.9553365	0.00338078145
11.9715581	0.00328592428
11.9877797	0.0032109365
12.0040013	0.00315174603
12.020223	0.00310465975
12.0364446	0.0030663672
12.0526662	0.00303394264
12.0688878	0.00300484526
12.0851095	0.00297691781
12.1013311	0.00294838343
12.1175527	0.00291784088
12.1337743	0.00288425807
12.1499959	0.00284696394
12.1662176	0.00280563881
12.1824392	0.00276030317
12.1986608	0.00271130491
12.2148824	0.00265930524
12.2311041	0.00260526314
12.2473257	0.00255041852
12.2635473	0.00249627418
12.2797689	0.00244457662
12.2959906	0.00239729576
12.3122122	0.00235660369
12.3284338	0.00232485254
12.3446554	0.00230455161
12.360877	0.0022983437
12.3770987	0.002308981
12.3933203	0.00233930041
12.4095419	0.00239219856
12.4257635	0.00247060652
12.4419852	0.00257746442
12.4582068	0.00271569602
12.4744284	0.00288818344
12.49065	0.00309774196
12.5068717	0.00334709532
12.5230933	0.00363885133
12.5393149	0.00397547808
12.5555365	0.00435928084
12.5717582	0.00479237974
12.5879798	0.00527668825
12.6042014	0.00581389282
12.620423	0.00640543345
12.6366446	0.00705248556
12.6528663	0.00775594313
12.6690879	0.0085164032
12.6853095	0.00933415188
12.7015311	0.0102091519
12.7177528	0.0111410317
12.7339744	0.0121290763
12.750196	0.0131722202
12.7664176	0.0142690413
12.7826393	0.0154177576
12.7988609	0.0166162254
12.8150825	0.0178619393
12.8313041	0.0191520343
12.8475258	0.0204832902
12.8637474	0.0218521376
12.879969	0.0232546661
12.8961906	0.0246866343
12.9124122	0.0261434823
12.9286339	0.0276203458
12.9448555	0.0291120721
12.9610771	0.0306132384
12.9772987	0.0321181715
12.9935204	0.03362097
13.009742	0.0351155274
13.0259636	0.036595558
13.0421852	0.0380546234
13.0584069	0.0394861612
13.0746285	0.0408835153
13.0908501	0.0422399667
13.1070717	0.0435487668
13.1232934	0.0448031712
13.139515	0.0459964743
13.1557366	0.0471220457
13.1719582	0.0481733668
13.1881798	0.0491440684
13.2044015	0.0500279687
13.2206231	0.0508191119
13.2368447	0.0515118071
13.2530663	0.0521006672
13.269288	0.0525806483
13.2855096	0.0529470884
13.3017312	0.0531957463
13.3179528	0.0533228398
13.3341745	0.0533250836
13.3503961	0.0531997264
13.3666177	0.052944587
13.3828393	0.0525580897
13.3990609	0.0520392986
13.4152826	0.05138795
13.4315042	0.0506044846
13.4477258	0.0496900766
13.4639474	0.0486466627
13.4801691	0.0474769683
13.4963907	0.0461845317
13.5126123	0.0447737272
13.5288339	0.0432497852
13.5450556	0.0416188102
13.5612772	0.0398877967
13.5774988	0.0380646424
13.5937204	0.0361581592
13.6099421	0.0341780812
13.6261637	0.0321350701
13.6423853	0.030040718
13.6586069	0.0279075477
13.6748285	0.0257490094
13.6910502	0.023579475
13.7072718	0.0214142297
13.7234934	0.0192694602
13.739715	0.0171622403
13.7559367	0.0151105136
13.7721583	0.0131330729
13.7883799	0.0112495372
13.8046015	0.00948032562
13.8208232	0.00784662829
13.8370448	0.006370375
13.8532664	0.00507420059
13.869488	0.00398140799
13.8857097	0.00311592862
13.9019313	0.00250228028
13.9181529	0.00216552272
13.9343745	0.00213121082
13.9505961	0.00242534568
13.9668178	0.0030743236
13.9830394	0.00410488314
13.999261	0.00554405037
14.0154826	0.00741908246
14.0317043	0.00975740973
14.0479259	0.0125865764
14.0641475	0.0159341798
14.0803691	0.0198278094
14.0965908	0.0242949836
14.1128124	0.0293630871
14.129034	0.0350593066
14.1452556	0.0414105674
14.1614772	0.0484434685
14.1776989	0.0561842183
14.1939205	0.0646585706
14.2101421	0.0738917606
14.2263637	0.0839084415
14.2425854	0.0947326221
14.258807	0.106387604
14.2750286	0.118895923
14.2912502	0.132279287
14.3074719	0.146558518
14.3236935	0.161753498
14.3399151	0.177883112
14.3561367	0.194965193
14.3723584	0.213016477
14.38858	0.232052547
14.4048016	0.25208779
14.4210232	0.273135352
14.4372448	0.295207098
14.4534665	0.318313568
