# t0_us	theta_over_pi_weighted_mean
4.12702703	0.107004882
4.13513514	0.110532507
4.14324324	0.114147253
4.15135135	0.117850207
4.15945946	0.121642435
4.16756757	0.12552499
4.17567568	0.129498907
4.18378378	0.133565203
4.19189189	0.137724875
4.2	0.141978901
4.20810811	0.146328238
4.21621622	0.15077382
4.22432432	0.155316559
4.23243243	0.159957344
4.24054054	0.164697039
4.24864865	0.169536484
4.25675676	0.174476491
4.26486486	0.179517846
4.27297297	0.184661309
4.28108108	0.189907609
4.28918919	0.195257448
4.2972973	0.200711497
4.30540541	0.206270397
4.31351351	0.211934756
4.32162162	0.217705152
4.32972973	0.22358213
4.33783784	0.229566201
4.34594595	0.235657842
4.35405405	0.241857496
4.36216216	0.24816557
4.37027027	0.254582436
4.37837838	0.261108429
4.38648649	0.267743848
4.39459459	0.274488955
4.4027027	0.281343971
4.41081081	0.288309084
4.41891892	0.295384438
4.42702703	0.302570142
4.43513514	0.309866262
4.44324324	0.317272828
4.45135135	0.324789827
4.45945946	0.332417207
4.46756757	0.340154873
4.47567568	0.348002693
4.48378378	0.355960489
4.49189189	0.364028045
4.5	0.372205103
4.50810811	0.380491363
4.51621622	0.388886482
4.52432432	0.397390076
4.53243243	0.406001721
4.54054054	0.414720947
4.54864865	0.423547245
4.55675676	0.432480064
4.56486486	0.44151881
4.57297297	0.450662847
4.58108108	0.459911499
4.58918919	0.469264048
4.5972973	0.478719733
4.60540541	0.488277754
4.61351351	0.497937269
4.62162162	0.507697395
4.62972973	0.517557211
4.63783784	0.527515752
4.64594595	0.537572017
4.65405405	0.547724965
4.66216216	0.557973513
4.67027027	0.568316544
4.67837838	0.578752901
4.68648649	0.589281387
4.69459459	0.599900772
4.7027027	0.610609788
4.71081081	0.62140713
4.71891892	0.632291458
4.72702703	0.643261398
4.73513514	0.654315541
4.74324324	0.665452445
4.75135135	0.676670636
4.75945946	0.687968604
4.76756757	0.699344812
4.77567568	0.710797691
4.78378378	0.72232564
4.79189189	0.733927032
4.8	0.745600208
4.80810811	0.757343484
4.81621622	0.769155149
4.82432432	0.781033464
4.83243243	0.792976668
4.84054054	0.804982973
4.84864865	0.817050569
4.85675676	0.829177624
4.86486486	0.841362283
4.87297297	0.853602672
4.88108108	0.865896896
4.88918919	0.878243043
4.8972973	0.890639181
4.90540541	0.903083363
4.91351351	0.915573626
4.92162162	0.928107992
4.92972973	0.940684469
4.93783784	0.953301053
4.94594595	0.965955727
4.95405405	0.978646465
4.96216216	0.99137123
4.97027027	1.00412798
4.97837838	1.01691465
4.98648649	1.0297292
4.99459459	1.04256955
5.0027027	1.05543363
5.01081081	1.06831938
5.01891892	1.08122471
5.02702703	1.09414755
5.03513514	1.10708582
5.04324324	1.12003745
5.05135135	1.13300036
5.05945946	1.14597248
5.06756757	1.15895174
5.07567568	1.17193607
5.08378378	1.18492342
5.09189189	1.19791174
5.1	1.21089898
5.10810811	1.22388311
5.11621622	1.2368621
5.12432432	1.24983394
5.13243243	1.26279663
5.14054054	1.27574817
5.14864865	1.28868658
5.15675676	1.30160991
5.16486486	1.31451621
5.17297297	1.32740354
5.18108108	1.34026999
5.18918919	1.35311367
5.1972973	1.36593269
5.20540541	1.3787252
5.21351351	1.39148935
5.22162162	1.40422334
5.22972973	1.41692536
5.23783784	1.42959364
5.24594595	1.44222644
5.25405405	1.45482202
5.26216216	1.4673787
5.27027027	1.47989478
5.27837838	1.49236862
5.28648649	1.50479861
5.29459459	1.51718314
5.3027027	1.52952064
5.31081081	1.54180958
5.31891892	1.55404845
5.32702703	1.56623577
5.33513514	1.57837008
5.34324324	1.59044996
5.35135135	1.60247404
5.35945946	1.61444094
5.36756757	1.62634934
5.37567568	1.63819795
5.38378378	1.64998551
5.39189189	1.66171078
5.4	1.67337258
5.40810811	1.68496974
5.41621622	1.69650113
5.42432432	1.70796565
5.43243243	1.71936225
5.44054054	1.7306899
5.44864865	1.74194761
5.45675676	1.75313442
5.46486486	1.76424941
5.47297297	1.77529169
5.48108108	1.7862604
5.48918919	1.79715474
5.4972973	1.80797392
5.50540541	1.81871718
5.51351351	1.82938382
5.52162162	1.83997316
5.52972973	1.85048455
5.53783784	1.86091739
5.54594595	1.8712711
5.55405405	1.88154514
5.56216216	1.89173902
5.57027027	1.90185224
5.57837838	1.91188439
5.58648649	1.92183506
5.59459459	1.93170386
5.6027027	1.94149048
5.61081081	1.9511946
5.61891892	1.96081596
5.62702703	1.97035431
5.63513514	1.97980945
5.64324324	1.9891812
5.65135135	1.99846941
5.65945946	2.00767399
5.66756757	2.01679483
5.67567568	2.02583189
5.68378378	2.03478514
5.69189189	2.0436546
5.7	2.05244029
5.70810811	2.06114228
5.71621622	2.06976066
5.72432432	2.07829554
5.73243243	2.08674707
5.74054054	2.09511543
5.74864865	2.10340079
5.75675676	2.1116034
5.76486486	2.11972349
5.77297297	2.12776132
5.78108108	2.13571721
5.78918919	2.14359145
5.7972973	2.15138439
5.80540541	2.15909639
5.81351351	2.16672782
5.82162162	2.17427909
5.82972973	2.18175062
5.83783784	2.18914284
5.84594595	2.19645622
5.85405405	2.20369122
5.86216216	2.21084835
5.87027027	2.21792811
5.87837838	2.22493103
5.88648649	2.23185764
5.89459459	2.23870851
5.9027027	2.24548419
5.91081081	2.25218528
5.91891892	2.25881236
5.92702703	2.26536605
5.93513514	2.27184697
5.94324324	2.27825574
5.95135135	2.28459299
5.95945946	2.29085939
5.96756757	2.29705559
5.97567568	2.30318225
5.98378378	2.30924005
5.99189189	2.31522967
6	2.32115179
6.00810811	2.32700711
6.01621622	2.33279633
6.02432432	2.33852015
6.03243243	2.34417927
6.04054054	2.34977441
6.04864865	2.35530628
6.05675676	2.36077559
6.06486486	2.36618307
6.07297297	2.37152942
6.08108108	2.37681538
6.08918919	2.38204166
6.0972973	2.38720897
6.10540541	2.39231804
6.11351351	2.39736959
6.12162162	2.40236433
6.12972973	2.40730298
6.13783784	2.41218624
6.14594595	2.41701482
6.15405405	2.42178943
6.16216216	2.42651077
6.17027027	2.43117953
6.17837838	2.43579641
6.18648649	2.44036208
6.19459459	2.44487724
6.2027027	2.44934256
6.21081081	2.45375871
6.21891892	2.45812634
6.22702703	2.46244612
